,0
0,1.0186076164245605
1,0.6960436105728149
2,0.7482181787490845
3,0.8819819688796997
4,1.063480019569397
5,0.6662362217903137
6,2.1849782466888428
7,0.7818137407302856
8,0.8080483675003052
9,1.7695566415786743
10,0.8446439504623413
11,0.6802022457122803
12,0.6039595007896423
13,1.3694435358047485
14,0.9815189242362976
15,0.9577816724777222
16,1.3463985919952393
17,0.7482181787490845
18,1.0176668167114258
19,1.063480019569397
20,1.017853021621704
21,0.5844928026199341
22,0.8271730542182922
23,0.6337091326713562
24,0.6911335587501526
25,0.8293645977973938
26,0.700487494468689
27,0.6393897533416748
28,0.7795146107673645
29,0.5378983616828918
30,0.4859102964401245
31,0.9519009590148926
32,0.6340806484222412
33,1.139391303062439
34,1.6960242986679077
35,0.627626895904541
36,0.7117266058921814
37,1.113953948020935
38,0.750976026058197
39,0.6333355903625488
40,1.1588338613510132
41,0.8092957735061646
42,0.7277785539627075
43,1.0399794578552246
44,0.8159022927284241
45,0.5635153651237488
46,0.5817751288414001
47,1.1534031629562378
