index,bias
0,-0.032821059226989746
1,-0.07892930507659912
2,0.008994698524475098
3,-0.0841524600982666
4,0.03910154104232788
5,-0.07965600490570068
6,-0.006381988525390625
7,0.017135143280029297
8,-0.0421450138092041
9,-0.03722071647644043
10,-0.052092790603637695
11,-0.03223395347595215
12,-0.03719627857208252
13,-0.09877896308898926
14,-0.023900270462036133
15,-0.03467869758605957
16,-0.00845193862915039
17,0.008994698524475098
18,0.013988852500915527
19,0.03910154104232788
20,-0.02761244773864746
21,-0.04654645919799805
22,-0.049207329750061035
23,-0.03396880626678467
24,-0.05876493453979492
25,-0.058030128479003906
26,-0.09073352813720703
27,-0.06403422355651855
28,-0.0028433799743652344
29,-0.10015720129013062
30,-0.03213906288146973
31,-0.05482429265975952
32,0.00015914440155029297
33,-0.06673359870910645
34,-0.04324376583099365
35,-0.02411186695098877
36,0.010671079158782959
37,-0.061095595359802246
38,-0.03353869915008545
39,0.06720894575119019
40,-0.04723888635635376
41,-0.016691088676452637
42,-0.11317026615142822
43,-0.08870768547058105
44,-0.021896719932556152
45,0.021437525749206543
46,-0.04764819145202637
47,-0.05468297004699707
