index,bias
0,-0.03932785987854004
1,-0.010633707046508789
2,0.0011516809463500977
3,-0.03148835897445679
4,0.02477782964706421
5,-0.015494048595428467
6,-0.024487853050231934
7,-0.13298869132995605
8,-0.001643538475036621
9,0.00506514310836792
10,-0.01816272735595703
11,-0.026764750480651855
12,-0.05562174320220947
13,-0.026628077030181885
14,-0.026628077030181885
15,-0.0020668506622314453
16,-0.057760655879974365
17,0.0011516809463500977
18,-0.06965881586074829
19,0.02477782964706421
20,-0.0708690881729126
21,-0.041020214557647705
22,-0.009828448295593262
23,-0.08297508955001831
24,0.01625138521194458
26,-0.019526898860931396
27,0.011900186538696289
28,0.026635289192199707
29,-0.029467523097991943
30,-0.03845357894897461
31,-0.015703320503234863
32,-0.05582612752914429
33,-0.009828448295593262
34,-0.036389708518981934
35,-0.022577404975891113
36,-0.08429485559463501
37,-0.02279585599899292
39,0.015908658504486084
40,-0.06817066669464111
41,-0.055195748805999756
42,-0.05822336673736572
43,-0.02279585599899292
44,-0.05345332622528076
45,0.0029352903366088867
46,-0.0566791296005249
