index,bias
0,-0.015178561210632324
1,-0.030595779418945312
2,0.045794010162353516
3,0.026865839958190918
4,0.04067850112915039
5,-0.050023555755615234
6,0.034125685691833496
7,-0.03603363037109375
8,0.02436661720275879
9,-0.007672667503356934
10,0.028502166271209717
11,0.034389615058898926
12,-0.06268656253814697
13,-0.07052123546600342
14,-0.0011913776397705078
15,0.01660609245300293
16,-0.0371394157409668
17,0.045794010162353516
18,0.024507999420166016
19,0.04067850112915039
21,0.005541026592254639
22,-0.008421659469604492
23,-0.0020180940628051758
24,-0.015794992446899414
25,-0.06614106893539429
26,-0.10885781049728394
27,0.03791821002960205
28,0.018863677978515625
29,0.0064626336097717285
30,-0.04374063014984131
31,-0.06922614574432373
32,-0.03195691108703613
33,-0.04487466812133789
34,-0.029819607734680176
35,0.04180264472961426
36,-0.038378000259399414
37,-0.027162909507751465
38,-0.10730564594268799
39,-0.01642751693725586
40,-0.031170785427093506
41,-0.04210764169692993
42,-0.14005064964294434
43,-0.027162909507751465
44,-0.05084264278411865
45,0.0029737353324890137
46,0.008800685405731201
47,-0.07094889879226685
