index,bias
0,-0.037649571895599365
1,-0.0521274209022522
2,-0.0024103522300720215
3,0.007008552551269531
4,-0.0007197260856628418
5,-0.06034362316131592
6,-0.02014821767807007
7,0.0020669102668762207
8,-0.018269896507263184
9,-0.104239821434021
10,-0.07345592975616455
11,-0.015209436416625977
12,0.005744457244873047
13,-0.06720727682113647
14,0.018694639205932617
15,-0.047071218490600586
16,-0.04618716239929199
17,-0.0024103522300720215
18,-0.04157114028930664
19,-0.0007197260856628418
20,-0.02081012725830078
21,0.04245603084564209
22,-0.05097782611846924
23,0.014657258987426758
24,0.035858094692230225
25,-0.04485499858856201
26,-0.07897049188613892
27,-0.06124526262283325
28,-0.058570265769958496
29,-0.03674131631851196
30,-0.006479024887084961
31,-0.01918625831604004
32,0.05223894119262695
33,-0.03826099634170532
34,-0.024625003337860107
35,0.0639258623123169
36,-0.05887323617935181
37,-0.12956619262695312
38,-0.09541201591491699
39,0.052863240242004395
40,-0.03225541114807129
41,-0.07360345125198364
42,-0.09866344928741455
43,-0.12956619262695312
44,0.022800743579864502
45,0.03908741474151611
46,0.0008451938629150391
47,-0.062057673931121826
