index,bias
0,-0.05105102062225342
1,-0.05110359191894531
2,0.012047767639160156
3,-0.07482409477233887
4,0.008536577224731445
5,-0.037209391593933105
6,-0.018854856491088867
7,-0.005736708641052246
8,0.0052138566970825195
9,-0.0372849702835083
10,-0.012257575988769531
11,-0.008538126945495605
12,0.012481212615966797
13,-0.011105775833129883
14,-0.03270924091339111
15,-0.0032716989517211914
16,0.011777758598327637
17,0.012047767639160156
18,0.008447527885437012
19,0.008536577224731445
20,0.0019371509552001953
21,-0.03854477405548096
22,-0.008797407150268555
23,0.005342841148376465
24,0.002589702606201172
25,-0.03094649314880371
26,-0.04189729690551758
27,0.02520430088043213
28,-0.03814196586608887
29,9.763240814208984e-05
31,-0.011255145072937012
32,0.02300405502319336
33,0.023276329040527344
34,-0.045198917388916016
35,0.040194153785705566
36,-0.06736981868743896
37,-0.039220452308654785
38,0.0234220027923584
39,-0.02776503562927246
40,-0.02500021457672119
41,-0.04558372497558594
42,-0.11838221549987793
43,-0.0381319522857666
44,-0.015457749366760254
45,-0.02628493309020996
46,0.0018421411514282227
47,-0.016169071197509766
